50
50
50
0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0001, 0.0001, 0.0002, 0.0004, 0.0007, 0.0011, 0.0017, 0.0024, 0.0033, 0.0043, 0.0053, 0.0063, 0.0071, 0.0079, 0.0084, 0.0089, 0.0091, 0.0093, 0.0093, 0.0093, 0.0091, 0.0089, 0.0084, 0.0079, 0.0071, 0.0063, 0.0053, 0.0043, 0.0033, 0.0024, 0.0017, 0.0011, 0.0007, 0.0004, 0.0002, 0.0001, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0001, 0.0001, 0.0002, 0.0005, 0.0008, 0.0014, 0.0023, 0.0034, 0.0049, 0.0067, 0.0086, 0.0107, 0.0126, 0.0144, 0.0159, 0.0170, 0.0179, 0.0184, 0.0187, 0.0188, 0.0187, 0.0184, 0.0179, 0.0170, 0.0159, 0.0144, 0.0126, 0.0107, 0.0086, 0.0067, 0.0049, 0.0034, 0.0023, 0.0014, 0.0008, 0.0005, 0.0002, 0.0001, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000, 0.0001, 0.0001, 0.0003, 0.0006, 0.0012, 0.0021, 0.0035, 0.0055, 0.0083, 0.0118, 0.0160, 0.0206, 0.0254, 0.0300, 0.0342, 0.0377, 0.0405, 0.0425, 0.0438, 0.0446, 0.0448, 0.0446, 0.0438, 0.0425, 0.0405, 0.0377, 0.0342, 0.0300, 0.0254, 0.0206, 0.0160, 0.0118, 0.0083, 0.0055, 0.0035, 0.0021, 0.0012, 0.0006, 0.0003, 0.0001, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0001, 0.0002, 0.0003, 0.0007, 0.0015, 0.0028, 0.0050, 0.0083, 0.0131, 0.0196, 0.0278, 0.0374, 0.0481, 0.0591, 0.0698, 0.0795, 0.0876, 0.0941, 0.0988, 0.1019, 0.1037, 0.1043, 0.1037, 0.1019, 0.0988, 0.0941, 0.0876, 0.0795, 0.0698, 0.0591, 0.0481, 0.0374, 0.0278, 0.0196, 0.0131, 0.0083, 0.0050, 0.0028, 0.0015, 0.0007, 0.0003, 0.0002, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0001, 0.0002, 0.0004, 0.0008, 0.0017, 0.0034, 0.0064, 0.0113, 0.0187, 0.0294, 0.0437, 0.0618, 0.0830, 0.1065, 0.1307, 0.1542, 0.1754, 0.1934, 0.2077, 0.2181, 0.2251, 0.2291, 0.2303, 0.2291, 0.2251, 0.2181, 0.2077, 0.1934, 0.1754, 0.1542, 0.1307, 0.1065, 0.0830, 0.0618, 0.0437, 0.0294, 0.0187, 0.0113, 0.0064, 0.0034, 0.0017, 0.0008, 0.0004, 0.0002, 0.0001, 0.0000, 0.0000, 0.0000
0.0000, 0.0001, 0.0001, 0.0003, 0.0008, 0.0018, 0.0038, 0.0075, 0.0138, 0.0241, 0.0398, 0.0623, 0.0923, 0.1300, 0.1742, 0.2230, 0.2734, 0.3221, 0.3664, 0.4039, 0.4337, 0.4557, 0.4704, 0.4788, 0.4815, 0.4788, 0.4704, 0.4557, 0.4337, 0.4039, 0.3664, 0.3221, 0.2734, 0.2230, 0.1742, 0.1300, 0.0923, 0.0623, 0.0398, 0.0241, 0.0138, 0.0075, 0.0038, 0.0018, 0.0008, 0.0003, 0.0001, 0.0001, 0.0000, 0.0000
0.0001, 0.0001, 0.0003, 0.0007, 0.0017, 0.0038, 0.0078, 0.0153, 0.0281, 0.0488, 0.0802, 0.1248, 0.1843, 0.2587, 0.3459, 0.4419, 0.5411, 0.6371, 0.7242, 0.7984, 0.8575, 0.9011, 0.9304, 0.9471, 0.9524, 0.9471, 0.9304, 0.9011, 0.8575, 0.7984, 0.7242, 0.6371, 0.5411, 0.4419, 0.3459, 0.2587, 0.1843, 0.1248, 0.0802, 0.0488, 0.0281, 0.0153, 0.0078, 0.0038, 0.0017, 0.0007, 0.0003, 0.0001, 0.0000, 0.0000
0.0001, 0.0002, 0.0006, 0.0015, 0.0034, 0.0075, 0.0153, 0.0296, 0.0540, 0.0934, 0.1526, 0.2366, 0.3481, 0.4872, 0.6502, 0.8293, 1.0141, 1.1932, 1.3560, 1.4947, 1.6054, 1.6874, 1.7426, 1.7741, 1.7843, 1.7741, 1.7426, 1.6874, 1.6054, 1.4947, 1.3560, 1.1932, 1.0141, 0.8293, 0.6502, 0.4872, 0.3481, 0.2366, 0.1526, 0.0934, 0.0540, 0.0296, 0.0153, 0.0075, 0.0034, 0.0015, 0.0006, 0.0002, 0.0001, 0.0000
0.0002, 0.0005, 0.0012, 0.0028, 0.0064, 0.0138, 0.0281, 0.0540, 0.0982, 0.1688, 0.2748, 0.4244, 0.6226, 0.8693, 1.1578, 1.4746, 1.8014, 2.1182, 2.4063, 2.6523, 2.8489, 2.9949, 3.0935, 3.1498, 3.1680, 3.1498, 3.0935, 2.9949, 2.8489, 2.6523, 2.4063, 2.1182, 1.8014, 1.4746, 1.1578, 0.8693, 0.6226, 0.4244, 0.2748, 0.1688, 0.0982, 0.0540, 0.0281, 0.0138, 0.0064, 0.0028, 0.0011, 0.0004, 0.0002, 0.0001
0.0004, 0.0008, 0.0021, 0.0050, 0.0113, 0.0241, 0.0488, 0.0934, 0.1688, 0.2889, 0.4687, 0.7215, 1.0556, 1.4706, 1.9553, 2.4871, 3.0356, 3.5673, 4.0514, 4.4652, 4.7964, 5.0429, 5.2098, 5.3052, 5.3361, 5.3052, 5.2098, 5.0429, 4.7964, 4.4652, 4.0514, 3.5673, 3.0356, 2.4871, 1.9553, 1.4706, 1.0556, 0.7215, 0.4687, 0.2889, 0.1688, 0.0934, 0.0488, 0.0241, 0.0113, 0.0050, 0.0021, 0.0008, 0.0003, 0.0001
